,N. parvum,X. sp.,descriptions
PF03456,2,2,uDENN domain
PF01214,2,1,Casein kinase II regulatory subunit
PF08145,1,1,BOP1NT (NUC169) domain
PF11816,1,0,Domain of unknown function (DUF3337)
PF14580,2,1,Leucine-rich repeat
PF01583,2,2,Adenylylsulphate kinase
PF17871,1,2,AAA lid domain
PF00736,1,1,EF-1 guanine nucleotide exchange domain
PF10587,1,1,Eukaryotic elongation factor 1 beta central acidic region
PF10270,1,0,Membrane magnesium transporter
PF17648,2,2,Family of unknown function (DUF5519)
PF04000,3,1,Sas10/Utp3/C1D family
PF09368,1,0,Sas10 C-terminal domain
PF05190,3,2,MutS family domain IV
PF04968,1,0,CHORD
PF04969,4,3,CS domain
PF05768,1,0,Glutaredoxin-like domain (DUF836)
PF03571,1,4,Peptidase family M49
PF00091,4,4,"Tubulin/FtsZ family, GTPase domain"
PF03953,4,4,Tubulin C-terminal domain
PF01490,7,6,Transmembrane amino acid transporter protein
PF04004,1,1,Leo1-like protein
PF03637,3,2,Mob1/phocein family
PF05907,1,0,"CXXC motif containing zinc binding protein, eukaryotic"
PF07569,1,1,TUP1-like enhancer of split
PF09453,1,1,HIRA B motif
PF16200,1,1,C-terminal region of band_7
PF04670,4,8,Gtr1/RagA G protein conserved region
PF09439,4,3,Signal recognition particle receptor beta subunit
PF06220,1,2,U1 zinc finger
PF11711,1,0,Inner membrane protein import complex subunit Tim54
PF04280,1,1,Tim44-like domain
PF06071,1,1,Protein of unknown function (DUF933)
PF03029,3,3,Conserved hypothetical ATP binding protein
PF11815,3,3,Domain of unknown function (DUF3336)
PF20162,1,1,Septation protein etd1
PF12848,2,3,ABC transporter
PF00670,1,1,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"
PF02984,2,2,"Cyclin, C-terminal domain"
PF00181,2,1,"Ribosomal Proteins L2, RNA binding domain"
PF03947,2,1,"Ribosomal Proteins L2, C-terminal domain"
PF01472,3,1,PUA domain
PF17832,1,1,Pre-PUA-like domain
PF16546,1,0,Homodimerisation domain of SGTA
PF02204,3,2,Vacuolar sorting protein 9 (VPS9) domain
PF08595,1,1,"RXT2-like, N-terminal"
PF11817,1,0,Foie gras liver health family 1
PF12742,1,0,"Gryzun, putative Golgi trafficking"
PF05875,1,1,Ceramidase
PF01920,2,4,Prefoldin subunit
PF04548,1,0,AIG1 family
PF00591,2,1,"Glycosyl transferase family, a/b domain"
PF02885,2,1,"Glycosyl transferase family, helical bundle domain"
PF01180,2,0,Dihydroorotate dehydrogenase
PF02184,1,0,HAT (Half-A-TPR) repeat
PF14559,2,4,Tetratricopeptide repeat
PF01798,3,0,"snoRNA binding domain, fibrillarin"
PF09785,1,0,Prp31 C terminal domain
PF10022,1,0,Uncharacterized protein conserved in bacteria (DUF2264)
PF02755,1,1,RPEL repeat
PF01036,2,2,Bacteriorhodopsin-like protein
PF05042,1,0,Caleosin related protein
PF07971,2,3,Glycosyl hydrolase family 92
PF07651,1,2,ANTH domain
PF04669,1,1,Polysaccharide biosynthesis
PF00410,1,2,Ribosomal protein S8
PF16508,1,1,Second BRCT domain on Nijmegen syndrome breakage protein
PF14308,1,1,X-domain of DnaJ-containing
PF00494,3,2,Squalene/phytoene synthase
PF13805,2,2,Eisosome component PIL1
PF10568,1,0,Outer mitochondrial membrane transport complex protein
PF10341,1,0,"Shelterin complex subunit, TPP1/ACD"
PF01363,3,3,FYVE zinc finger
PF12621,4,3,"Extracellular tail, of 10TM putative phosphate transporter"
PF09284,2,2,"Rhamnogalacturonan lyase B, N-terminal"
PF14683,4,3,"Polysaccharide lyase family 4, domain III"
PF14686,4,3,"Polysaccharide lyase family 4, domain II"
PF01474,1,1,Class-II DAHP synthetase family
PF03676,1,1,Phagosome assembly factor 1
PF07534,1,1,TLD
PF08593,1,0,Domain of unknown function
PF03311,1,0,Cornichon protein
PF15801,1,0,"zf-MYND-like zinc finger, mRNA-binding"
PF01875,1,1,Memo-like protein
PF08588,2,1,Protein of unknown function (DUF1769)
PF20246,2,2,Family of unknown function (DUF6601)
PF07721,1,2,Tetratricopeptide repeat
PF04095,1,1,Nicotinate phosphoribosyltransferase (NAPRTase) family
PF17767,1,1,Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
PF00804,2,1,Syntaxin
PF01233,1,1,"Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain"
PF02799,1,1,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain"
PF20233,1,2,Family of unknown function (DUF6590)
PF02847,2,1,MA3 domain
PF01192,1,0,RNA polymerase Rpb6
PF00756,1,2,Putative esterase
PF07297,1,1,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)
PF00233,1,0,3'5'-cyclic nucleotide phosphodiesterase
PF18592,1,1,Tho1/MOS11 C-terminal domain
PF08704,1,1,tRNA methyltransferase complex GCD14 subunit
PF00278,2,1,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain"
PF02784,2,1,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
PF02146,5,4,Sir2 family
PF00631,1,0,GGL domain
PF00490,1,1,Delta-aminolevulinic acid dehydratase
PF08645,1,1,Polynucleotide kinase 3 phosphatase
PF09637,1,1,Med18 protein
PF10937,1,1,"Ribosomal protein S36, mitochondrial"
PF17100,1,3,N-terminal domain of NWD NACHT-NTPase
PF03707,1,1,Bacterial signalling protein N terminal repeat
PF01756,1,1,Acyl-CoA oxidase
PF14749,1,1,Acyl-coenzyme A oxidase N-terminal
PF04707,2,1,PRELI-like family
PF12222,1,2,Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
PF06916,1,0,FAM210A/B-like domain
PF13924,1,0,Lipocalin-like domain
PF02837,1,6,"Glycosyl hydrolases family 2, sugar binding domain"
PF02129,3,1,X-Pro dipeptidyl-peptidase (S15 family)
PF08530,3,1,X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
PF04614,1,0,Pex19 protein family
PF14523,1,1,Syntaxin-like protein
PF09531,1,1,Nucleoporin protein Ndc1-Nup
PF02271,1,1,Ubiquinol-cytochrome C reductase complex 14kD subunit
PF00730,2,7,HhH-GPD superfamily base excision DNA repair protein
PF12454,1,0,GPI-anchored cell wall organization protein
PF03452,2,5,Anp1
PF16282,1,0,SANT/Myb-like domain of DAMP1
PF07491,1,1,Protein phosphatase inhibitor
PF03009,3,5,Glycerophosphoryl diester phosphodiesterase family
PF08389,3,2,Exportin 1-like protein
PF08767,1,1,CRM1 C terminal
PF18777,1,1,Chromosome region maintenance or exportin repeat
PF18784,1,1,CRM1 / Exportin repeat 2
PF18787,1,1,CRM1 / Exportin repeat 3
PF09779,1,0,Ima1 N-terminal domain
PF00164,1,2,Ribosomal protein S12/S23
PF17242,1,1,Disordered region of unknown function (DUF5315)
PF14698,1,1,Argininosuccinate lyase C-terminal
PF08432,1,1,AAA-ATPase Vps4-associated protein 1
PF00185,2,2,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"
PF02729,2,2,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain"
PF01842,2,2,ACT domain
PF10369,1,1,Small subunit of acetolactate synthase
PF13710,1,1,ACT domain
PF16901,1,1,C-terminal domain of alpha-glycerophosphate oxidase
PF10497,1,1,Zinc-finger domain of monoamine-oxidase A repressor R1
PF01040,2,9,UbiA prenyltransferase family
PF03645,1,0,Tctex-1 family
PF08695,1,1,Cytochrome oxidase complex assembly protein 1
PF00635,1,0,MSP (Major sperm protein) domain
PF00544,6,4,Pectate lyase
PF04143,1,1,Sulphur transport
PF00689,7,10,"Cation transporting ATPase, C-terminus"
PF08450,6,1,SMP-30/Gluconolactonase/LRE-like region
PF03568,1,1,Peptidase family C50
PF12770,2,1,CHAT domain
PF17678,2,3,Glycosyl hydrolase family 92 N-terminal domain
PF03153,1,1,"Transcription factor IIA, alpha/beta subunit"
PF02182,1,1,SAD/SRA domain
PF15341,1,1,Ribosome biogenesis protein SLX9
PF14598,1,0,PAS domain
PF07005,1,0,Sugar-binding N-terminal domain
PF17042,1,0,Nucleotide-binding C-terminal domain
PF00183,1,1,Hsp90 protein
PF16891,2,1,Serine-threonine protein phosphatase N-terminal domain
PF02823,1,0,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain"
PF00735,4,4,Septin
PF09745,1,1,"Nuclear speckle splicing regulatory protein 1, N-terminal"
PF08760,4,2,Domain of unknown function (DUF1793)
PF16335,4,2,Domain of unknown function (DUF4965)
PF17168,4,1,Domain of unknown function (DUF5127)
PF09763,1,1,Exocyst complex component Sec3
PF15277,1,1,Exocyst complex component SEC3 N-terminal PIP2 binding PH
PF05022,1,1,"SRP40, C-terminal domain"
PF12006,1,0,Protein of unknown function (DUF3500)
PF01566,1,1,Natural resistance-associated macrophage protein
PF00056,2,1,"lactate/malate dehydrogenase, NAD binding domain"
PF02866,2,1,"lactate/malate dehydrogenase, alpha/beta C-terminal domain"
PF00755,2,3,Choline/Carnitine o-acyltransferase
PF08655,1,0,DASH complex subunit Ask1
PF00343,1,1,Carbohydrate phosphorylase
PF03661,1,0,Transmembrane protein 33/Nucleoporin POM33
PF03081,1,2,Exo70 exocyst complex subunit
PF01735,3,2,Lysophospholipase catalytic domain
PF07969,1,3,Amidohydrolase family
PF01535,5,5,PPR repeat
PF13812,4,4,Pentatricopeptide repeat domain
PF16969,1,0,RNA-binding signal recognition particle 68
PF02678,2,2,Pirin
PF17954,1,0,Quercetinase C-terminal cupin domain
PF00754,1,1,F5/8 type C domain
PF03907,1,0,Spo7-like protein
PF01026,2,1,TatD related DNase
PF11464,1,1,Rabenosyn Rab binding domain
PF01783,1,0,Ribosomal L32p protein family
PF19031,1,1,"First Longin domain of INTU, CCZ1 and HPS4"
PF00551,2,1,Formyl transferase
PF01264,1,0,Chorismate synthase
PF03455,1,1,dDENN domain
PF06159,1,1,Protein of unknown function (DUF974)
PF10303,1,1,Protein of unknown function (DUF2408)
PF11563,1,0,Protoglobin
PF02935,1,0,Cytochrome c oxidase subunit VIIc
PF04762,1,1,IKI3 family
PF08559,1,1,"Cut8, nuclear proteasome tether protein"
PF05794,1,0,T-complex protein 11
PF00534,4,2,Glycosyl transferases group 1
PF13692,3,2,Glycosyl transferases group 1
PF15924,1,1,ALG11 mannosyltransferase N-terminus
PF06862,1,1,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
PF02852,3,1,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
PF05345,1,1,Putative Ig domain
PF05093,1,1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis"
PF16803,1,1,Fe-S cluster assembly protein DRE2 N-terminus
PF03177,2,1,Non-repetitive/WGA-negative nucleoporin C-terminal
PF08801,2,1,Nup133 N terminal like
PF01008,4,5,Initiation factor 2 subunit family
PF12850,1,3,Calcineurin-like phosphoesterase superfamily domain
PF08315,1,1,cwf18 pre-mRNA splicing factor
PF12752,1,2,SUZ domain
PF04434,1,0,SWIM zinc finger
PF09159,1,1,Mitochondrial resolvase Ydc2 / RNA splicing MRS1
PF04922,1,0,DIE2/ALG10 family
PF01198,1,1,Ribosomal protein L31e
PF05495,2,2,CHY zinc finger
PF14599,1,1,Zinc-ribbon
PF09811,2,1,"Essential protein Yae1, N terminal"
PF19303,1,1,Anticodon binding domain of methionyl tRNA ligase
PF01196,1,1,Ribosomal protein L17
PF10309,1,1,Nuclear cap-binding protein subunit 3
PF08982,2,2,Acetylaranotin biosynthesis cluster protein L
PF10484,1,0,Mitochondrial ribosomal protein S23
PF13741,1,0,Mitochondrial ribosomal protein S25
PF07557,1,1,Shugoshin C terminus
PF07558,1,1,Shugoshin N-terminal coiled-coil region
PF08654,1,1,DASH complex subunit Dad2
PF05238,1,0,Kinetochore protein CHL4 like
PF01058,1,0,"NADH ubiquinone oxidoreductase, 20 Kd subunit"
PF04910,1,1,Transcriptional repressor TCF25
PF02441,3,2,Flavoprotein
PF08570,1,1,Protein of unknown function (DUF1761)
PF18376,1,0,Mevalonate 5-diphosphate decarboxylase C-terminal domain
PF03881,1,4,Fructosamine kinase
PF02630,1,1,SCO1/SenC
PF01243,4,2,Pyridoxamine 5'-phosphate oxidase
PF03109,2,3,ABC1 atypical kinase-like domain
PF11708,1,1,Pre-mRNA splicing Prp18-interacting factor
PF14260,2,2,C4-type zinc-finger of DNA polymerase delta
PF05183,2,2,RNA dependent RNA polymerase
PF00900,1,1,Ribosomal family S4e
PF01479,4,4,S4 domain
PF08071,1,1,RS4NT (NUC023) domain
PF16121,1,1,40S ribosomal protein S4 C-terminus
PF00728,3,3,"Glycosyl hydrolase family 20, catalytic domain"
PF02838,3,1,"Glycosyl hydrolase family 20, domain 2"
PF09243,1,0,Mitochondrial small ribosomal subunit Rsm22
PF08287,1,1,Spc19
PF15985,1,1,KH domain
PF18311,1,1,Exosome complex exonuclease Rrp40 N-terminal domain
PF07646,2,4,Kelch motif
PF14538,1,1,Raptor N-terminal CASPase like domain
PF01222,3,1,Ergosterol biosynthesis ERG4/ERG24 family
PF07978,1,0,NIPSNAP
PF01066,3,4,CDP-alcohol phosphatidyltransferase
PF01907,1,0,Ribosomal protein L37e
PF14823,2,1,Sirohaem biosynthesis protein C-terminal
PF14824,2,1,Sirohaem biosynthesis protein central
PF10259,1,1,Rogdi leucine zipper containing protein
PF04938,1,1,Survival motor neuron (SMN) interacting protein 1 (SIP1)
PF10282,4,4,"Lactonase, 7-bladed beta-propeller"
PF12230,1,1,Pre-mRNA splicing factor PRP21 like protein
PF02265,1,3,S1/P1 Nuclease
PF01641,1,1,SelR domain
PF01112,1,2,Asparaginase
PF15454,1,0,Late endosomal/lysosomal adaptor and MAPK and MTOR activator
PF07967,1,1,C3HC zinc finger-like
PF08600,1,1,Rsm1-like
PF08732,1,1,HIM1
PF09451,1,0,Autophagy-related protein 27
PF03271,1,1,EB1-like C-terminal motif
PF01501,2,2,Glycosyl transferase family 8
PF05995,1,1,Cysteine dioxygenase type I
PF02824,3,1,TGS domain
PF04218,1,0,CENP-B N-terminal DNA-binding domain
PF16897,2,1,C-terminal region of MMR_HSR1 domain
PF09748,1,0,Transcription factor subunit Med10 of Mediator complex
PF09783,2,1,Vacuolar import and degradation protein
PF01464,1,0,Transglycosylase SLT domain
PF04241,1,1,Protein of unknown function (DUF423)
PF01251,1,1,Ribosomal protein S7e
PF05502,1,1,Dynactin p62 family
PF06602,1,0,Myotubularin-like phosphatase domain
PF00189,1,0,"Ribosomal protein S3, C-terminal domain"
PF16035,1,1,Chalcone isomerase like
PF01454,1,1,MAGE homology domain
PF03483,1,1,B3/4 domain
PF03484,1,0,tRNA synthetase B5 domain
PF17759,1,1,Phenylalanyl tRNA synthetase beta chain CLM domain
PF18262,1,1,Phe-tRNA synthetase beta subunit B1 domain
PF09084,1,1,NMT1/THI5 like
PF01131,1,1,DNA topoisomerase
PF10330,1,1,Putative Sin3 binding protein
PF12353,1,1,Eukaryotic translation initiation factor 3 subunit G
PF01812,1,0,5-formyltetrahydrofolate cyclo-ligase family
PF10681,1,0,"Chaperone for protein-folding within the ER, fungal"
PF03969,1,2,AFG1-like ATPase
PF10496,1,1,SNARE-complex protein Syntaxin-18 N-terminus
PF00809,1,1,Pterin binding enzyme
PF01288,1,1,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)"
PF06244,1,1,Coiled-coil domain-containing protein 124 /Oxs1
PF02724,1,1,CDC45-like protein
PF05178,1,1,KRI1-like family
PF12936,1,1,KRI1-like family C-terminal
PF16746,2,2,BAR domain of APPL family
PF16275,1,1,Splicing factor 1 helix-hairpin domain
PF02746,3,1,"Mandelate racemase / muconate lactonizing enzyme, N-terminal domain"
PF10224,1,0,Short coiled-coil protein
PF05064,1,1,Nsp1-like C-terminal region
PF17104,1,1,Domain of unknown function (DUF5102)
PF00672,1,2,HAMP domain
PF18947,1,2,HAMP domain
PF01328,5,5,"Peroxidase, family 2"
PF03167,2,2,Uracil DNA glycosylase superfamily
PF06423,1,1,GWT1
PF00595,2,0,PDZ domain
PF13180,1,0,PDZ domain
PF17820,2,2,PDZ domain
PF01172,1,2,Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF01773,1,1,Na+ dependent nucleoside transporter N-terminus
PF07662,1,1,Na+ dependent nucleoside transporter C-terminus
PF03715,1,1,Noc2p family
PF03997,1,1,VPS28 protein
PF11374,7,11,Protein of unknown function (DUF3176)
PF00622,1,5,SPRY domain
PF10607,3,4,CTLH/CRA C-terminal to LisH motif domain
PF08193,1,1,INO80 complex subunit Ies4
PF04990,1,1,"RNA polymerase Rpb1, domain 7"
PF04992,1,1,"RNA polymerase Rpb1, domain 6"
PF05001,1,0,RNA polymerase Rpb1 C-terminal repeat
PF04446,1,1,tRNAHis guanylyltransferase
PF14413,1,1,Thg1 C terminal domain
PF02291,1,1,"Transcription initiation factor IID, 31kD subunit"
PF08583,2,2,Cytochrome c oxidase biogenesis protein Cmc1 like
PF03998,1,1,Utp11 protein
PF04571,1,1,"lipin, N-terminal conserved region"
PF08235,1,1,LNS2 (Lipin/Ned1/Smp2)
PF00041,1,1,Fibronectin type III domain
PF00449,1,1,"Urease alpha-subunit, N-terminal domain"
PF00547,1,1,"Urease, gamma subunit"
PF00699,1,1,Urease beta subunit
PF02982,2,1,Scytalone dehydratase
PF02545,1,1,Maf-like protein
PF09011,3,8,HMG-box domain
PF01285,1,1,TEA/ATTS domain
PF01221,1,0,Dynein light chain type 1
PF07217,2,3,Heterokaryon incompatibility protein Het-C
PF04718,1,1,Mitochondrial ATP synthase g subunit
PF02891,2,1,MIZ/SP-RING zinc finger
PF14324,2,1,PINIT domain
PF00339,4,3,"Arrestin (or S-antigen), N-terminal domain"
PF02990,2,1,Endomembrane protein 70
PF13598,1,0,Domain of unknown function (DUF4139)
PF13600,1,0,N-terminal domain of unknown function (DUF4140)
PF15786,1,0,"PET assembly of cytochrome c oxidase, mitochondrial"
PF03179,1,0,Vacuolar (H+)-ATPase G subunit
PF01977,2,0,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF00165,1,1,"Bacterial regulatory helix-turn-helix proteins, AraC family"
PF02805,1,1,Metal binding domain of Ada
PF12923,1,1,Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain
PF17799,1,1,Rrp7 RRM-like N-terminal domain
PF03417,1,1,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF06645,1,1,Microsomal signal peptidase 12 kDa subunit (SPC12)
PF12678,3,5,RING-H2 zinc finger domain
PF12861,3,4,Anaphase-promoting complex subunit 11 RING-H2 finger
PF15365,1,1,Proline-rich nuclear receptor coactivator motif
PF02493,1,0,MORN repeat
PF01916,1,1,Deoxyhypusine synthase
PF10032,1,1,Phosphate transport (Pho88)
PF02213,1,2,GYF domain
PF08232,1,1,Striatin family
PF00276,2,2,Ribosomal protein L23
PF03939,1,0,"Ribosomal protein L23, N-terminal domain"
PF11968,1,1,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2"
PF18854,1,1,Bacterial archaeo-eukaryotic release factor family 10
PF00800,1,1,Prephenate dehydratase
PF04189,1,1,Gcd10p family
PF04424,1,0,MINDY deubiquitinase
PF02574,1,1,Homocysteine S-methyltransferase
PF18951,1,0,Family of unknown function (DUF5695)
PF08293,1,0,Mitochondrial ribosomal subunit S27
PF00636,3,4,Ribonuclease III domain
PF04179,1,1,Rit1 DUSP-like domain
PF17184,1,1,Rit1 N-terminal domain
PF19834,1,1,Family of unknown function (DUF6314)
PF03330,2,1,Lytic transglycolase
PF16199,1,1,Radical_SAM C-terminal domain
PF00928,2,3,Adaptor complexes medium subunit family
PF01071,1,1,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"
PF02843,1,1,"Phosphoribosylglycinamide synthetase, C domain"
PF02844,1,1,"Phosphoribosylglycinamide synthetase, N domain"
PF00586,1,1,"AIR synthase related protein, N-terminal domain"
PF04062,1,1,ARP2/3 complex ARPC3 (21 kDa) subunit
PF06144,1,0,"DNA polymerase III, delta subunit"
PF11917,1,0,Protein of unknown function (DUF3435)
PF00909,3,3,Ammonium Transporter Family
PF00089,1,1,Trypsin
PF12812,1,1,PDZ-like domain
PF13365,1,3,Trypsin-like peptidase domain
PF02541,1,1,Ppx/GppA phosphatase family
PF02450,1,1,Lecithin:cholesterol acyltransferase
PF12922,1,0,"non-SMC mitotic condensation complex subunit 1, N-term"
PF08553,1,1,VID27 C-terminal WD40-like domain
PF17747,1,1,VID27 PH-like domain
PF17748,1,1,VID27 N-terminal region
PF00366,2,2,Ribosomal protein S17
PF03188,1,3,Eukaryotic cytochrome b561
PF06881,1,2,RNA polymerase II transcription factor SIII (Elongin) subunit A
PF05615,1,1,Tho complex subunit 7
PF09810,1,0,Exonuclease V - a 5' deoxyribonuclease
PF02969,3,3,TATA box binding protein associated factor (TAF)
PF15511,3,4,Centromere kinetochore component CENP-T histone fold
PF06432,1,1,Phosphatidylinositol N-acetylglucosaminyltransferase
PF00191,2,1,Annexin
PF18098,1,1,26S proteasome regulatory subunit RPN5 C-terminal domain
PF08644,1,1,FACT complex subunit (SPT16/CDC68)
PF14826,1,1,FACT complex subunit SPT16 N-terminal lobe domain
PF01608,1,1,I/LWEQ domain
PF03442,1,0,Carbohydrate binding domain X2
PF00584,1,1,SecE/Sec61-gamma subunits of protein translocation complex
PF00840,2,4,Glycosyl hydrolase family 7
PF10247,1,1,Reactive mitochondrial oxygen species modulator 1
PF01918,1,0,Alba
PF12328,1,0,Rpp20 subunit of nuclear RNase MRP and P
PF00860,2,0,Permease family
PF01984,1,1,Double-stranded DNA-binding domain
PF05019,1,1,Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF00253,1,2,Ribosomal protein S14p/S29e
PF01507,2,2,Phosphoadenosine phosphosulfate reductase family
PF01747,1,1,ATP-sulfurylase
PF14306,1,1,PUA-like domain
PF11970,2,1,G protein-coupled glucose receptor regulating Gpa2 C-term
PF14617,1,1,U3-containing 90S pre-ribosomal complex subunit
PF02104,1,1,SURF1 family
PF01791,1,1,DeoC/LacD family aldolase
PF01667,1,0,Ribosomal protein S27
PF00163,2,1,Ribosomal protein S4/S9 N-terminal domain
PF01157,1,1,Ribosomal protein L21e
PF10197,1,1,N-terminal domain of CBF1 interacting co-repressor CIR
PF12542,1,1,Pre-mRNA splicing factor
PF10275,1,1,Peptidase C65 Otubain
PF01259,1,1,SAICAR synthetase
PF08547,2,2,Complex I intermediate-associated protein 30 (CIA30)
PF12862,1,1,Anaphase-promoting complex subunit 5
PF02046,1,1,Cytochrome c oxidase subunit VIa
PF04769,1,0,Mating-type protein MAT alpha 1 HMG-box
PF02598,1,0,Putative RNA methyltransferase
PF03669,1,0,PAT complex subunit Asterix
PF09497,1,1,Transcription mediator complex subunit Med12
PF08752,1,1,Coatomer gamma subunit appendage platform subdomain
PF16381,1,1,Coatomer subunit gamma-1 C-terminal appendage platform
PF02114,2,1,Phosducin
PF01853,2,1,MOZ/SAS family
PF17772,2,1,MYST family zinc finger domain
PF08615,1,0,Ribonuclease H2 non-catalytic subunit (Ylr154p-like)
PF14231,1,0,GXWXG protein
PF14232,1,0,Domain of unknown function (DUF4334)
PF04263,1,0,"Thiamin pyrophosphokinase, catalytic domain"
PF04265,1,0,"Thiamin pyrophosphokinase, vitamin B1 binding domain"
PF08245,1,0,Mur ligase middle domain
PF02774,1,1,"Semialdehyde dehydrogenase, dimerisation domain"
PF14821,1,0,Threonine synthase N terminus
PF01687,1,2,Riboflavin kinase
PF12656,1,1,G-patch domain
PF05182,1,0,Fip1 motif
PF08649,1,1,DASH complex subunit Dad1
PF03770,2,1,Inositol polyphosphate kinase
PF02705,2,0,K+ potassium transporter
PF12554,1,0,Mitotic-spindle organizing gamma-tubulin ring associated
PF10791,1,0,Mitochondrial F1-F0 ATP synthase subunit F of fungi
PF04800,1,1,NADH dehydrogenase ubiquinone Fe-S protein 4
PF01588,1,1,Putative tRNA binding domain
PF07738,2,1,Sad1 / UNC-like C-terminal
PF01900,1,1,Rpp14/Pop5 family
PF08577,1,2,PI31 proteasome regulator
PF11566,1,2,PI31 proteasome regulator N-terminal
PF01851,2,2,Proteasome/cyclosome repeat
PF17781,1,1,RPN1 N-terminal domain
PF18051,1,1,26S proteasome non-ATPase regulatory subunit RPN1 C-terminal
PF01163,2,2,RIO1 family
PF09202,1,1,"Rio2, N-terminal"
PF05893,1,0,Acyl-CoA reductase (LuxC)
PF01743,1,2,Poly A polymerase head domain
PF10521,1,1,Tti2 family
PF07767,1,0,Nop53 (60S ribosomal biogenesis)
PF02064,1,0,MAS20 protein import receptor
PF08700,3,2,Vps51/Vps67
PF16528,1,0,Exocyst component 84 C-terminal
PF12257,1,1,Vacuolar membrane-associated protein Iml1
PF19418,1,1,DEPDC5 protein C-terminal region
PF14636,1,1,Folliculin-interacting protein N-terminus
PF03781,1,0,Sulfatase-modifying factor enzyme 1
PF10017,1,1,"Histidine-specific methyltransferase, SAM-dependent"
PF12867,1,0,DinB superfamily
PF18263,1,1,MCM6 C-terminal winged-helix domain
PF13862,1,1,BCCIP
PF00958,1,1,GMP synthase C terminal domain
PF00994,3,1,Probable molybdopterin binding domain
PF03453,1,1,MoeA N-terminal region (domain I and II)
PF03454,1,1,MoeA C-terminal region (domain IV)
PF00137,4,4,ATP synthase subunit C
PF02268,2,1,"Transcription initiation factor IIA, gamma subunit, helical domain"
PF02751,2,1,"Transcription initiation factor IIA, gamma subunit"
PF01088,2,3,"Ubiquitin carboxyl-terminal hydrolase, family 1"
PF01974,2,2,"tRNA intron endonuclease, catalytic C-terminal domain"
PF03870,1,1,RNA polymerase Rpb8
PF15916,2,1,Domain of unknown function (DUF4743)
PF05603,1,1,Protein of unknown function (DUF775)
PF09349,1,1,OHCU decarboxylase
PF03896,1,1,"Translocon-associated protein (TRAP), alpha subunit"
PF04826,1,1,Armadillo-like
PF13926,1,1,Domain of unknown function (DUF4211)
PF05839,1,1,Apc13p protein
PF08418,1,1,DNA polymerase alpha subunit B N-terminal
PF01379,2,1,"Porphobilinogen deaminase, dipyromethane cofactor binding domain"
PF03900,2,1,"Porphobilinogen deaminase, C-terminal domain"
PF08619,1,1,Alkali metal cation/H+ antiporter Nha1 C terminus
PF02752,4,1,"Arrestin (or S-antigen), C-terminal domain"
PF12738,4,3,twin BRCT domain
PF01230,2,2,HIT domain
PF11969,3,3,Scavenger mRNA decapping enzyme C-term binding
PF16278,1,1,C2HE / C2H2 / C2HC zinc-binding finger
PF04031,1,1,Las1-like
PF04840,1,0,"Vps16, C-terminal region"
PF04841,1,0,"Vps16, N-terminal region"
PF00588,1,1,SpoU rRNA Methylase family
PF18661,2,0,Avirulence Effector AvrLm4-7
PF10230,2,1,Lipid-droplet associated hydrolase
PF16347,1,1,Domain of unknown function (DUF4976)
PF02458,3,6,Transferase family
PF03143,4,4,Elongation factor Tu C-terminal domain
PF01590,4,2,GAF domain
PF13185,3,1,GAF domain
PF04051,3,3,Transport protein particle (TRAPP) component
PF03098,2,0,Animal haem peroxidase
PF08493,2,4,Aflatoxin regulatory protein
PF20516,5,13,PD-(D/E)XK nuclease superfamily
PF08892,1,0,YqcI/YcgG family
PF08386,3,4,TAP-like protein
PF02900,3,2,Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF19067,1,0,Family of unknown function (DUF5763)
PF13391,5,14,HNH endonuclease
PF06108,1,1,Protein of unknown function (DUF952)
PF08153,1,1,NGP1NT (NUC091) domain
PF00081,1,2,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF02777,1,3,"Iron/manganese superoxide dismutases, C-terminal domain"
PF12014,1,0,Cyclin D1 binding domain
PF13361,1,1,UvrD-like helicase C-terminal domain
PF13538,1,1,UvrD-like helicase C-terminal domain
